app名称,英文名称,一级分类,安装人数,软件大小,头像地址,描述,新版本截图,开发者,apk下载地址,软件短评,版本号,id号码,vcode,新版本号
微信,com.tencent.mm,通讯社交,1349.6万人安装,96.35MB,https://android-artworks.25pp.com/fs08/2019/05/06/1/106_2e9de774dea4871018495025cd3a5a5b_con_130x130.png,1.可以发语音、文字消息、表情、图片、视频30M流量可以收发上千条语音，省电省流量2.朋友圈，跟朋友们分享生活点滴,"['https://android-screenimgs.25pp.com/fs08/2019/01/02/7/986215b9f974a7c96f1eca3e2a6622ba_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/01/02/0/ed7b55baab7415b69338356af0fda394_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/01/02/8/c1ba569e1d1d7981ec0a82776b626498_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/01/02/3/6f34f73a129ccdb5853d52bead80f49d_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/01/02/1/fce56af8a302ae17b3d47dcc2e9ee6d7_234x360.jpg']",腾讯,https://www.wandoujia.com/apps/com.tencent.mm/download/dot?ch=detail_normal_dl,  每个人手机必装的聊天软件  , 7.0.4,596157,1420, 7.0.4
挖客,com.adot.mining,通讯社交,73万人安装,12.71MB,https://android-artworks.25pp.com/fs08/2019/06/04/10/110_2fa88bd38a3fffdf10dfb68e813b9915_con_130x130.png,挖客是一款通过地图社交的形式打造自己的附近好友圈，近距离陌生交友，城市穿越定位其他城市去别人的城市交友。现在下载，立即来寻找附近好玩有趣的人吧！经营路牌广告，每天收取租金，你的路牌你做主，快来升级版本吧。官方Q群：676817514 挖客2019更新内容【挖客V6.2版本-店铺转发佣金】1：发布店铺转发佣金，让全城的用户抢着帮你转发 ,"['https://android-screenimgs.25pp.com/fs08/2019/01/02/7/986215b9f974a7c96f1eca3e2a6622ba_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/01/02/0/ed7b55baab7415b69338356af0fda394_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/01/02/8/c1ba569e1d1d7981ec0a82776b626498_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/01/02/3/6f34f73a129ccdb5853d52bead80f49d_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/01/02/1/fce56af8a302ae17b3d47dcc2e9ee6d7_234x360.jpg']",深圳市多点云息科技有限公司,https://www.wandoujia.com/apps/com.adot.mining/download/dot?ch=detail_normal_dl,  地图社交更精准  , 6.2.1,7758886,621, 6.2.1
QQ,com.tencent.mobileqq,通讯社交,808.9万人安装,67.08MB,https://android-artworks.25pp.com/fs08/2019/06/17/3/110_08ecfeb41b843187244b6e12c87a20ea_con_130x130.png,-----QQ·乐在沟通-----√服务超过90%的移动互联网用户√多人视频、文件多端互传，不断创新满足沟通所需√致力于打造欢乐无限的沟通、娱乐与生活体验-----主要功能-----·聊天消息：随时随地收发好友和群消息，一触即达。·语音通话：两人、多人语音通话，高清畅聊。·视频聊天：亲朋好友，想念不如相见。·文件传输：手机、电脑多端互传，方便快捷。·空间动态：更快获知好友动态，分享生活留住感动。·个性装扮：主题、名片、彩铃、气泡、挂件自由选。·游戏中心：天天、全民等最热手游，根本停不下来。·移动支付：话费充值、网购、转账收款，一应俱全。·QQ运用：同步苹果-健康（HealthKit）运动数据，与好友PK，快乐健康一起玩！乐在沟通20年，聊天欢乐9亿人！-----联系我们-----如在使用过程中遇到任何问题，请联系我们：- 在线帮助：进入QQ设置 -> 关于QQ -> 帮助与反馈- 客服热线：0755 -83763333（服务时间：8:00 - 23:00）*加入寻找丢失儿童公益项目，GPS在后台运行可能会影响电池续航时间 QQ2019更新内容- 支持对聊天消息界面截长图，简单操作随心截；- 多选图片/视频后，可一键批量保存；- 长按语音消息可支持倍速播放，收听更方便；- 夜间模式焕新升级，星空黑界面，好友畅聊更舒适；- 支持设置和展示在线状态、自动回复；- 优化语音/视频通话体验，来电接听界面支持最小化；- 新增置顶好友、好友消息免打扰功能，支持多端漫游同步；- 修复部分场景下的机型兼容问题，加强版本稳定性。内测功能：（仅受邀用户可体验）- 开启语音消息自动转文字，解放耳朵，高效阅读；- 与好友聊天时，可展示双方输入状态，看看谁是你的秒回好友！ ,"['https://android-screenimgs.25pp.com/fs08/2019/01/02/7/986215b9f974a7c96f1eca3e2a6622ba_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/01/02/0/ed7b55baab7415b69338356af0fda394_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/01/02/8/c1ba569e1d1d7981ec0a82776b626498_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/01/02/3/6f34f73a129ccdb5853d52bead80f49d_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/01/02/1/fce56af8a302ae17b3d47dcc2e9ee6d7_234x360.jpg']",腾讯科技（深圳）有限公司,https://www.wandoujia.com/apps/com.tencent.mobileqq/download/dot?ch=detail_normal_dl,  老牌聊天软件，装载童年  , 8.0.7,566489,1204, 8.0.7
MOMO陌陌,com.immomo.momo,通讯社交,942.9万人安装,72.88MB,https://android-artworks.25pp.com/fs08/2019/06/13/1/110_a83f3e7303c866e5d14ff9689d3c311c_con_130x130.png,【应用介绍】MOMO是一款开放式移动社交应用。新版本全方位融入、短视频等视频元素，建立了沉浸式、场景化的社交方式。这是一个全新的MOMO，很高兴认识你。 【主要功能】-附近：看看附近，发现身边朋友。真人视频化，聊天更真实。-MOMO短视频：分享自己的生活瞬间，用视频，认识我。-附近的人/动态：浏览附近动态，发现身边有趣的人。 【其他功能】-点点：成为点赞之交，配对亲密好友。-附近群组：看看附近群组，找到兴趣相投的人。-聊天室：随便聊聊，小房间，大乐趣。-游戏中心：一起玩游戏，成为新朋友。 MOMO陌陌2019更新内容【群组】1、 群聊设置改版，邀请成员更方便，管理操作更明晰。2、本群最美榜单出炉，还能解锁身份标签/专属头像框等高级特权。【直播】直播平台新增贵族阶层，拥有贵族身份的用户可享受贵族专属特权。 ,"['https://android-screenimgs.25pp.com/fs08/2019/01/02/7/986215b9f974a7c96f1eca3e2a6622ba_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/01/02/0/ed7b55baab7415b69338356af0fda394_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/01/02/8/c1ba569e1d1d7981ec0a82776b626498_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/01/02/3/6f34f73a129ccdb5853d52bead80f49d_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/01/02/1/fce56af8a302ae17b3d47dcc2e9ee6d7_234x360.jpg']",北京陌陌信息技术有限公司,https://www.wandoujia.com/apps/com.immomo.momo/download/dot?ch=detail_normal_dl,  新奇在身边，发现身边有意思的人  , 8.18.7,280155,4256, 8.18.7
玫瑰约会同城交友,com.rosedate.siye,通讯社交,2535人安装,36.13MB,https://android-artworks.25pp.com/fs08/2019/04/16/6/110_fb68455b8591198359654a7da741ea5f_con_130x130.png,新生代超火爆的一对一视频聊天交友软件。同城约会交友社交或附近陌生人交友，语音交友、视频聊天交友等多种约玩方式。只为遇见真诚的ta，平台坚持对用户资料真实度做认证审核，拒绝照骗。在这里，你可以：【真实快约】真人形象视频，高颜值妹子官方审核认证，真正颜值交友聊天。【私密社交】注册即可屏蔽手机联系人，给你属于自己的社交空间。【视频聊天】随时搭讪颜美声甜的小哥哥小姐姐，零距离一对一视频聊天，在线处cp夜聊闲聊，赶走孤单无聊。【亲密畅聊】文字传情，双方亲密恋爱比心，温馨畅聊，做彼此的soul灵魂伴侣。【走心约聊】各种玩法，看电影、约饭请吃饭，旅行等陪伴交友方式，都在等你即刻美丽约起。 玫瑰约会同城交友2019更新内容新增微信登录。#小哥哥看过来，附近妹子在线主动一对一视频邀约，比上个版本更有趣更火爆！#小姐姐看这里，福利派送越来越多，赶紧下载看攻略吧！ ,"['https://android-screenimgs.25pp.com/fs08/2019/01/02/7/986215b9f974a7c96f1eca3e2a6622ba_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/01/02/0/ed7b55baab7415b69338356af0fda394_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/01/02/8/c1ba569e1d1d7981ec0a82776b626498_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/01/02/3/6f34f73a129ccdb5853d52bead80f49d_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/01/02/1/fce56af8a302ae17b3d47dcc2e9ee6d7_234x360.jpg']",广州四叶文化传播有限公司,https://www.wandoujia.com/apps/com.rosedate.siye/download/dot?ch=detail_normal_dl,  火爆一对一视频聊  , 2.1.0,7753562,30, 2.1.0
漂流瓶,com.yilahuo.driftbottle,通讯社交,12万人安装,38.07MB,https://android-artworks.25pp.com/fs08/2019/05/30/0/110_728c7a6b66e468d19973e7d7a5063b1c_con_130x130.png,"丢个瓶子，寻觅心意相通的Ta ！我们希望通过漂流瓶带你找到心仪的另一半，通过游戏任务快速提升你们之间的感情,不尴尬！不无趣！相遇本该如此美好！找对象处CP就是这这么简单！ 主要功能【高效匹配】魔力爱情海，扔瓶子秒速捡完；【任务破冰】甜蜜小任务，匿名搭讪不再尴尬； 【放心交友】实时审核，7*24小时维护社区氛围 ；官方QQ群:418377498 漂流瓶2019更新内容技术哥哥修复一些小bug ","['https://android-screenimgs.25pp.com/fs08/2019/06/04/8/110_d364b94a41241f0fef693b649236f018_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/04/10/110_f37632b23810ab00d20af2781e1bb526_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/04/0/110_b65325b6aabbaa27f74765c74c23eeaa_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/04/1/110_62115e13c5601bc160332833413df178_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/04/6/110_c9c6d23bba7b42a352bc8026208a40a0_234x360.jpg']",上海一拉火网络科技有限公司,https://www.wandoujia.com/apps/com.yilahuo.driftbottle/download/dot?ch=detail_normal_dl,  陌生人匿名聊天  , 2.6.1,7588016,69, 2.6.1
草莓聊,com.strawberry.chat,通讯社交,2.3万人安装,39MB,https://android-artworks.25pp.com/fs08/2019/05/17/6/110_811fda9f5fde0511c8e23953543f09ef_con_130x130.png,【2018年超火的陌生男女聊天交友软件】草莓聊，鼓励“同城零距离社交”，同城男女通过视频速配，私密真心话等趣味功能谈个恋爱。来这里遇见TA，一对一视频聊天，快速增进亲密关系，真实好玩不孤单！网友对草莓聊的评价很高：“草莓聊真是国内少有的交友约会神器，之前玩momo陌陌、探探、他趣里的妹子太难撩！还是这里方便。之前还玩过富聊和盘丝洞，都太复杂了，这里简单清晰，更加专注一对一交友体验，非常棒！” 【主要功能】【视频速配】通过“视频速配”功能，快速视频配对附近的TA，陪你视频、语音聊天，让聊天更加丰富有趣，告别无聊！【精选推荐】美丽的皮囊千篇一律，有趣的soul万里挑一。精选独具特色的那个TA，萝莉音、逗趣小哥哥、御女范、知心大姐，轻松遇见有趣有聊的专属对象！ 【欢乐交友】私密真心话，逗趣搞怪的题型，消灭尬聊，帮你快速了解真实的TA，让她/他成为懂你的人。 【趣味直播】高颜值主播，时刻陪伴，主动和你分享日常生活趣事，真实亲切，欢乐互动零距离！【视频认证】拒绝“照骗”，素颜实拍+视频认证，俊男靓女，一眼看出！【密友圈】专属你的私密社交交友圈，女神动态随时掌握，交友的私密领地，随时发现高颜值美女。同城视聊交友美女视频陪聊同城美女一对一视频陪聊同城视聊交友美女陪聊私密真心话陪聊同城陪聊视频陪聊美女陪聊交友同城交友附近聊天约会聊天同城视聊交友就上草莓聊！ 草莓聊2019更新内容1、修复bug和性能优化同城视聊交友视频陪聊同城一对一视频陪聊就上草莓聊 ,"['https://android-screenimgs.25pp.com/fs08/2019/06/04/8/110_d364b94a41241f0fef693b649236f018_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/04/10/110_f37632b23810ab00d20af2781e1bb526_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/04/0/110_b65325b6aabbaa27f74765c74c23eeaa_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/04/1/110_62115e13c5601bc160332833413df178_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/04/6/110_c9c6d23bba7b42a352bc8026208a40a0_234x360.jpg']",深圳燃冰信息科技有限公司,https://www.wandoujia.com/apps/com.strawberry.chat/download/dot?ch=detail_normal_dl,  附近美女聊天交友  , 2.5,7702131,67, 2.5
微信聊天记录恢复,com.xly.wechatrecover,通讯社交,85.6万人安装,14.76MB,https://android-artworks.25pp.com/fs08/2019/04/23/9/110_5a5ebda59025faab308e102b9b5e62f3_con_130x130.png,微信聊天记录终于可以恢复啦，只需在手机上就可以操作，简单方便，只要按步骤操作就可以。恢复内容：微信聊天记录、微信照片、微信语音、微信文件等等恢复聊天记录步骤：1、用手机自带备份功能，备份好数据2、一键扫描备份文件，即可恢复聊天记录功能：1、支持微信聊天记录恢复2、支持微信聊天图片恢复3、支持微信通讯录恢复，误删好友找回优势：1、简单好用，聊天记录恢复无须电脑配合，无须专业人士指导，傻瓜式操作，一键备份扫描即可找回丢失的聊天记录2、功能全面，行业领先的聊天记录恢复技术，恢复成功率高，支持文字，图片，好友恢复 微信聊天记录恢复2019更新内容修复已知BUG增加搜索功能 ,"['https://android-screenimgs.25pp.com/fs08/2019/06/04/8/110_d364b94a41241f0fef693b649236f018_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/04/10/110_f37632b23810ab00d20af2781e1bb526_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/04/0/110_b65325b6aabbaa27f74765c74c23eeaa_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/04/1/110_62115e13c5601bc160332833413df178_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/04/6/110_c9c6d23bba7b42a352bc8026208a40a0_234x360.jpg']",深圳市柒捌柒玖科技有限公司,https://www.wandoujia.com/apps/com.xly.wechatrecover/download/dot?ch=detail_normal_dl,  专业手机数据恢复  , 7001,7855777,7001, 7001
配配,com.xmhaibao.peipei,通讯社交,131.8万人安装,27.75MB,https://android-artworks.25pp.com/fs08/2019/05/23/1/110_8f4a1f5d5f97994874d0a896b80540ab_con_130x130.png,【配配-高颜值cp陪玩交友平台】众多热门手游，王者荣耀、绝地求生刺激战场、第五人格…从此再也不怕一个人玩游戏！【原创海量视频】原创热门游戏视频，距离大神只有一步之遥。【真人在线陪玩】各类帅哥陪玩，从此远离一个人生活。【游戏教学】游戏大神时时在线，倾情传授上分秘诀。【真人交友广场】多款游戏大神，超多游戏萌妹。【多款热门游戏】王者荣耀、吃鸡、第五人格等热门手游，囊括时下最火爆游戏。【同城交友】精准定位，同城交友，同城约会，各种线下约会方式随你选择~ 【私密聊天】轻松交友，匿名聊天，随心所欲地交友约会，约会很轻松，聊天很随意谨慎下载，怕你一玩就嗨到停不下来~ 配配2019更新内容更新日志：————————【会员中心】会员等级，重磅来袭！消费即享会员特权，头像框、金币、昵称红名……拿到手软！【一元专区】性价比超高的小哥哥小姐姐都在这里！一元带飞，你还在等什么？【动态】可以发布5秒的视频啦！自己发布的动态，下面还会带上教学链接哦~【私信】可以在私信中，发送自己的教学链接啦！【其他】我们还隐藏了其他一些小惊喜，更新试试？———————— ,"['https://android-screenimgs.25pp.com/fs08/2019/06/04/8/110_d364b94a41241f0fef693b649236f018_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/04/10/110_f37632b23810ab00d20af2781e1bb526_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/04/0/110_b65325b6aabbaa27f74765c74c23eeaa_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/04/1/110_62115e13c5601bc160332833413df178_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/04/6/110_c9c6d23bba7b42a352bc8026208a40a0_234x360.jpg']",深圳齐享娱乐科技有限公司,https://www.wandoujia.com/apps/com.xmhaibao.peipei/download/dot?ch=detail_normal_dl,  同城线下陪玩  , 2.2.2,7736189,222, 2.2.2
简爱,com.jiduo.jianai360,通讯社交,18.8万人安装,13.57MB,https://android-artworks.25pp.com/fs08/2017/12/01/6/110_293e0e07bfd2e5530dd2a8ee44dd7cb5_con_130x130.png,简爱—互联网真实快速的约会平台，严苛的审核机制，拒绝虚假。百万真实会员，等你来约！发布邀约，短时间多人应约，帮您快速找到志同道合的TA ！你可以在任何时候关注异性的动态、可以关注你所喜欢的异性！特点：【真实】照片资料全部审核，拒绝虚假，绝对真实！【高效】人人都有邀约意向，不瞎聊，直接约！【安全】各项认证资料严格保密，安全交友，放心交流【认证】实名认证+视频认证+手机认证+车辆认证，四重保障更放心！【活跃】百万活跃用户，消息、红包收不停！【精彩】丰富的个人主页，资料、照片、交友需求、动态，比朋友圈更有看头！ 简爱更新内容1，新增了派送礼物和抢红包功能，趣味性更强。  2，优化了个人主页界面，更简洁。 修复了已知的BUG，优化产品性能，只为更优质的体验。 ,"['https://android-screenimgs.25pp.com/fs08/2019/06/04/8/110_d364b94a41241f0fef693b649236f018_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/04/10/110_f37632b23810ab00d20af2781e1bb526_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/04/0/110_b65325b6aabbaa27f74765c74c23eeaa_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/04/1/110_62115e13c5601bc160332833413df178_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/04/6/110_c9c6d23bba7b42a352bc8026208a40a0_234x360.jpg']",武汉集多信息科技有限公司,https://www.wandoujia.com/apps/com.jiduo.jianai360/download/dot?ch=detail_normal_dl,  简爱 约你所爱  , 4.4,7626493,12, 4.4
快猫,com.juyu.ml,通讯社交,93.2万人安装,27.94MB,https://android-artworks.25pp.com/fs08/2019/05/23/0/110_048c7e836b795c7f1c1137ec385b9b98_con_130x130.png,"快猫功能升级版，更多内容等你探索！成年人喜爱的APP，各路资源一网打尽！赶快来下载使用吧啊！ 快猫2019更新内容修复了一些BUG,用户体验更流畅！ ","['https://android-screenimgs.25pp.com/fs08/2019/06/17/8/110_8948a7f6f3bb51fafd8c84ad5b2c50d9_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/17/1/110_d362bd4bfb1080c0de345eddbc3eb9d4_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/17/9/110_fe384370a00f73e7317883ce6a7c3f25_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/17/10/110_781eaacba90210155ca182489dd08ae5_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/17/6/110_ff4d1c131e35f1052b9ebc0fcd07ba89_234x360.jpg']",深圳市晴天互娱网络有限公司,https://www.wandoujia.com/apps/com.juyu.ml/download/dot?ch=detail_normal_dl,  快猫破解增强版  , 1.4.2,7925333,42, 1.4.2
MOMO约,com.meetfave.momoyue,通讯社交,9.5万人安装,12.34MB,https://android-artworks.25pp.com/fs08/2018/09/14/6/110_28765e377ab5cdf1efac296547003929_con_130x130.png,据说美女很多很主动，男生优质同城聊 在MOMO约 你可以认识附近的陌生人，跟他们聊天交友互动； 基于用户兴趣量身打造的同城社交平台，一键召唤附近与你兴趣相投的陌生人。全新的相遇方式，助力快速拓展精准人脉；海量同城约会每日更新，注重交友真实、安全、高效：不闲聊，直接约，和虚假社交说“再见”； #附近的人：海量用户多维度便捷筛选附近的人 #好感配对：找好感，快速找到相互喜欢的人 #摇一摇：摇一摇不孤单，匹配跟你一样等待缘分的ta #雷达：社交雷达探索周边的新奇用户，聊天交友，想约就约 快来加入我们吧 MOMO约2019更新内容1.优化首页 2.优化聊天功能 3.修复bug ,"['https://android-screenimgs.25pp.com/fs08/2019/06/17/8/110_8948a7f6f3bb51fafd8c84ad5b2c50d9_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/17/1/110_d362bd4bfb1080c0de345eddbc3eb9d4_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/17/9/110_fe384370a00f73e7317883ce6a7c3f25_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/17/10/110_781eaacba90210155ca182489dd08ae5_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/17/6/110_ff4d1c131e35f1052b9ebc0fcd07ba89_234x360.jpg']",厦门太野网络科技有限公司,https://www.wandoujia.com/apps/com.meetfave.momoyue/download/dot?ch=detail_normal_dl,  美女很多很主动约  , 1.1,7867179,22, 1.1
QQ轻聊版,com.tencent.qqlite,通讯社交,74.6万人安装,11.02MB,https://android-artworks.25pp.com/fs08/2018/07/30/0/110_24442b7f6196f166ef7eda88fb4ffeb5_con_130x130.png,"QQ轻聊版功能介绍：本应用是腾讯公司专为低性能手机打造的精简版QQ。保留核心聊天功能，超小安装包，省内存，聊天更畅快！                                                                    内容提要:- 为低内存小屏幕手机提供的最精减QQ版本；- 语音、图片、原创表情，乐在沟通- 免费建百人QQ群、讨论组，进行多人聊天- 启用通讯录，方便快速添加好友- 资料卡、照片墙分享生活点滴- 位置分享，快速找到聚会地点- QQ邮箱提醒，快捷的收发邮件- 支持群助手、好友分组管理- 支持本地搜索好友、群、讨论组- 支持二维码扫描    说明：1.轻聊版不支持联想K800,联想K900等X86及MIPS架构的机型。          2.轻聊版不支持语音通话、视频通话等功能，性能较好的手机推荐使用QQ手机版，也可以同时使用两个版本。 QQ轻聊版更新内容- 搜索历史记录可删除； - 修复使用问题，提升用户体验； - 优化Android系统兼容性。说明：1.轻聊版不支持联想K800，联想K900等X86及MIPS架构的机型；2.轻聊版不支持语音通话、视频通话等功能，性能较好的手机推荐使用QQ手机版，也可以同时使用两个版本。 ","['https://android-screenimgs.25pp.com/fs08/2019/06/17/8/110_8948a7f6f3bb51fafd8c84ad5b2c50d9_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/17/1/110_d362bd4bfb1080c0de345eddbc3eb9d4_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/17/9/110_fe384370a00f73e7317883ce6a7c3f25_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/17/10/110_781eaacba90210155ca182489dd08ae5_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/17/6/110_ff4d1c131e35f1052b9ebc0fcd07ba89_234x360.jpg']",腾讯科技（深圳）有限公司,https://www.wandoujia.com/apps/com.tencent.qqlite/download/dot?ch=detail_normal_dl,  省内存，聊天更畅快！  , 3.7.1,2184893,186, 3.7.1
抱抱,cn.myhug.baobao,通讯社交,17.9万人安装,79.03MB,https://android-artworks.25pp.com/fs08/2019/05/29/4/110_ad3d4b94ba040551a6e9cc8acb20b4a3_con_130x130.png,抱抱直播是一个超暖心的全民视频直播平台，通过抱抱直播可以预见不一样的美丽【全民直播】一键开播，智能美颜，超清画面，一手掌握！【互动交友】帅哥美女，校花校草的聚集地，超便捷聊天，轻轻松松和主播搭讪！【炫酷礼物】边看直播边刷礼物，存在感爆棚。守护座驾，身份标识，让你与别人不一样！【PK功能】主播相互PK，火爆拉票，刺激又好玩！ 抱抱2019更新内容更新内容：【优化】优化修复线上已知问题。 ,"['https://android-screenimgs.25pp.com/fs08/2019/06/17/8/110_8948a7f6f3bb51fafd8c84ad5b2c50d9_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/17/1/110_d362bd4bfb1080c0de345eddbc3eb9d4_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/17/9/110_fe384370a00f73e7317883ce6a7c3f25_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/17/10/110_781eaacba90210155ca182489dd08ae5_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/17/6/110_ff4d1c131e35f1052b9ebc0fcd07ba89_234x360.jpg']",北京星河时代信息技术有限公司,https://www.wandoujia.com/apps/cn.myhug.baobao/download/dot?ch=detail_normal_dl,  美女轻颜直播  , 7.7.1,5820341,77100, 7.7.1
Uki,cn.neoclub.uki,通讯社交,14.4万人安装,39.13MB,https://android-artworks.25pp.com/fs08/2019/06/14/5/106_3d368ff4dc08389dc0dc66ea43073e8a_con_130x130.png,Uki是一款认识新朋友的年轻人交友软件。专属造型，和见光死说拜拜。U友，想认识新朋友？有趣的人在这等你。声控，来这里听声识人，发现好听的声音吧。动态广场，展示现自我，让大家更了解你，聊天才有更多话题哦~一个人聊不过瘾？来开派对吧，终结孤独，等你来躁！趣味测试，分析你的真实属性，认真走心，发现合拍的灵魂。,"['https://android-screenimgs.25pp.com/fs08/2019/06/17/8/110_8948a7f6f3bb51fafd8c84ad5b2c50d9_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/17/1/110_d362bd4bfb1080c0de345eddbc3eb9d4_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/17/9/110_fe384370a00f73e7317883ce6a7c3f25_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/17/10/110_781eaacba90210155ca182489dd08ae5_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/17/6/110_ff4d1c131e35f1052b9ebc0fcd07ba89_234x360.jpg']",上海牛咖信息科技有限公司,https://www.wandoujia.com/apps/cn.neoclub.uki/download/dot?ch=detail_normal_dl,  有趣的人在等你  , 4.5.3,7665303,73, 4.5.3
