app名称,英文名称,一级分类,安装人数,软件大小,头像地址,描述,新版本截图,开发者,apk下载地址,软件短评,版本号
17K免费小说,com.chineseall.reader,新闻阅读,8万人安装,28.91MB,https://android-artworks.25pp.com/fs08/2019/04/25/7/110_1a9883c0b379cc3dac8e3ad4da638ac1_con_130x130.png,阅享品质，体验非凡，全新改版的17K小说给你不一样的阅读免费小说体验千万大神驻站，网络全网最热最全最新的网络免费小说，我们承诺大量全站小说免费让你看个够，大神更新速度全网第一，每月都会有各种福利活动，奖品多多！最重要的是免费参与【免费多多、福利多多、全网最全的免费小说电子书阅读神器】每周至少千本免费小说任性看；各种1元特价活动不定期上线， 阅读小说就能参与抽奖活动，iPhone X大奖等你拿~每周都有充值返利活动，最高可返20000元，相当于终生免费看全站小说了【大神作者超过】千万大神作者鼎力支持，共同创造网文神话天蚕土豆、唐家三少、莫言、善良的蜜蜂、风御九秋、失落叶、大鱼小心、猫小猫、周梅森、饶雪漫、平凡的魔术师、老施、韩寒、郭敬明、东野圭吾......【海量原创】内容繁多，类别丰富，乡村迷情、都市爽文、玄幻修仙、穿越宫斗、种田文、霸道总裁、悬疑惊悚、盗墓摸金《修罗武神》《九星霸体决》《吞天记》《超级兵王》《人皇纪》《参天》《大主宰》《斗破苍穹》《花千骨》《三生三世》《鬼吹灯》《盗墓笔记》《斗罗大陆》等大神爆款应有尽有；《天庭地府微信群》、《大先生》、《星球博物馆》每周新增优秀作品上万部，总有一款适合你。 【热门影视】年度热门影视原著抢先看《三体》《悟空传》《妖猫传》《人民的名义》《我才不会被女孩子欺负呢》《三国机密之潜龙在渊》《环太平洋》《烈火如歌》《橙红年代》《迷雾围城》等，剧情抢先看【出版精品】经典好书，一网打尽《寻找爱情的邹小姐》《罗布泊之咒》《东宫》《后宫如懿传》《贵婉日记》《白鹿原》等，阅遍热门好书【新手福利】全场小说免费读新用户免费赠送全站小说VIP特权，百万小说，免费阅读！更有诸多新人特权，等您来挖掘！【优惠活动】限免秒杀嗨不停特价秒杀一次爽翻天，定期推出精品书限时抢购及免费尝鲜，一起看小说愿意为您的阅读买单。各种1元特价活动不定期上线， 阅读小说就能参与抽奖活动，iPhone X大奖等你拿~每周都有充值返利活动，最高可返20000元，相当于终生免费看全站小说了,"['https://android-screenimgs.25pp.com/fs08/2019/06/06/3/110_c17152693049ab58232551d1cad66b4c_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/06/5/110_2ea5a0120198b04bdcca2693cb573880_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/06/3/110_ca4bc5900a7ef76cfe19b5ffbeb3152b_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/06/11/110_64e018200e53abc0df4ae07136c02de5_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/06/4/110_2789971fa51fd3af01d06466ff9dfc6e_234x360.jpg']",北京中文在线数字出版股份有限公司,https://www.wandoujia.com/apps/com.chineseall.reader/download/dot?ch=detail_normal_dl,  免费读小说  , 6.4.0
邪恶漫画,com.xemh.mh,新闻阅读,12.6万人安装,12.3MB,https://android-artworks.25pp.com/fs08/2019/04/02/11/110_2e9460232b94e7d22ad2dea6eea6514a_con_130x130.png,漫画超全，更新快，高清全彩不费眼！ (￣▽￣)操作简单，加载快，条式阅读体验赞！ (￣▽￣)【软件特色】 1、海量正版资源：精彩漫画强势来袭，二次元小伙伴集结圣地；体验超好的漫画，超快的更新上架速度，为你提供丰富的精神食粮；超高清的全彩画面，让你体验到精美的视觉享受；超舒服的条漫排版，让你即使拥挤在地铁中，也能轻松快速阅读；2、分类齐全，精选推荐：个性分类，智慧搜索 分类涵盖题材，精选和作者3种方式，个性化推荐满足漫迷们的挑剔口味；特有的智能搜索引擎，海量关键词汇搜索引导，不再让好漫画轻易从指尖错过接口清新，操作人性化，软件风格简约时尚，重点突出，上手容易，让你轻松进入。3、颠覆传统漫画阅读体验：邪恶漫画是一款完全适配手机阅读体验的漫画APP，操作非常简单，无需横屏或放大缩小，创新性条式排版，只需要手指一直往下滑，便可快速浏览，带给你舒适的视觉享受！4、新社区，新世界，人人可发帖：在趣话的世界里，你也可以发帖了，还有更多有趣好玩「频道」等你加入，频率一致、爱好相同才能聊到一块儿。发帖互动，原创神回复，获得「全场zui佳」称号。还等什么，biu～,"['https://android-screenimgs.25pp.com/fs08/2019/06/06/3/110_c17152693049ab58232551d1cad66b4c_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/06/5/110_2ea5a0120198b04bdcca2693cb573880_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/06/3/110_ca4bc5900a7ef76cfe19b5ffbeb3152b_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/06/11/110_64e018200e53abc0df4ae07136c02de5_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/06/4/110_2789971fa51fd3af01d06466ff9dfc6e_234x360.jpg']",重庆趣话网络科技有限公司,https://www.wandoujia.com/apps/com.xemh.mh/download/dot?ch=detail_normal_dl,  有趣的二次元社区  , 1.1.6
TXT免费全本小说,com.mfqbxs.reader,新闻阅读,13.1万人安装,9.21MB,https://android-artworks.25pp.com/fs08/2019/06/12/1/2_717a2f1bf0249fc48b476dae2ae4b942_con_130x130.png,     本应用全部不收费，百万小说畅快读，设计简洁心轻松。小说阅读江湖的良心之作，匠心之作。说起来我们家阅读器也没什么明显的优点，只不过比别人家的收录小说多一点而已，百万级别书库，你想看的《三生三世十里桃花》、《那片星空，那片海》、《诛仙：青云志》……算了也懒得举更多例子了，反正你想看的都有；只不过更新速度比别人家快那么一点而已，很适合追书想快人一步的你；只不过全站的书都不收费而已，我说的不收费就是没有一本书收费，懂？我也不懂老板这是想闹哪样；只不过颜值高那么一点而已，只不过感觉好用一点而已。 【各种排行榜】满足你从任何角度找到自己想看的那本书的幻想 ,"['https://android-screenimgs.25pp.com/fs08/2019/06/13/5/110_42dd52f595683c8b16971bb7870d43f0_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/13/6/110_c62f2d8df09fa7499798a2276ef6e3e5_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/13/11/110_b0abcf304bec52511770db241ef03894_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/13/10/110_c9cef5cda8a6ee42cae52c85ee67d6da_234x360.jpg']",北京字节无限科技有限公司,https://www.wandoujia.com/apps/com.mfqbxs.reader/download/dot?ch=detail_normal_dl,  本应用全部不收费，百万小说畅快读，设计简洁心轻松。小说阅读江湖的良心之作，匠心之作。说起来我们家阅读  , 1.0.6
酷我听书,cn.kuwo.tingshu,新闻阅读,7.6万人安装,41.46MB,https://android-artworks.25pp.com/fs08/2019/06/13/11/110_307850f580853bebc3d85e5d0a28e65b_con_130x130.png,听书、听课、听音乐，您的zui佳选择！小说、评书、儿童故事，“声”临其境，想听就听！酷我听书FM，带你走进一个有声的世界……—   热门内容  —【有声小说】斗破苍穹：热播电视剧《斗破苍穹》同名原著小说莽荒纪：修仙觅长生，热血任逍遥！白金大神我吃西红柿神作鬼吹灯、人民的名义、星辰变……【历史文学】中华上下五千年：许多的神话，历史故事乾隆皇帝：长篇系列历史小说有声读物锦衣卫、儒家宗师的智慧人生、大清相国、拿破仑……【儿童故事】晚安故事盒子：高质量的陪伴孩子一起入睡凯叔西游记：精品中的宝藏，相信每个孩子都会彻底爱上他洪恩故事、米小圈上学记、汪汪队立大功、凯叔声律启蒙……【英语启蒙】英语童谣晚安电台：用好听的英文歌哄睡，磨灵小耳朵英语儿歌快乐唱：唱着儿歌，英语单词都记住亲子生活口语课：留美英语教师，同你一起在家教娃说英语美国幼儿启蒙英语、故事英语启蒙、Peggy讲解牛津英语……更多海量音频，请打开酷我听书FM！—   新版功能  —1.全新改版，极简风格，邀您体验；2.小说、相声、儿童…精选频道，任你点播；3.听书音乐，无缝衔接，一键切换；4.倍速播放，重磅出击，随心掌控；5.火爆精品，宠坏耳朵，收入囊中。,"['https://android-screenimgs.25pp.com/fs08/2019/06/13/5/110_42dd52f595683c8b16971bb7870d43f0_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/13/6/110_c62f2d8df09fa7499798a2276ef6e3e5_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/13/11/110_b0abcf304bec52511770db241ef03894_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/13/10/110_c9cef5cda8a6ee42cae52c85ee67d6da_234x360.jpg']",北京酷我科技有限公司,https://www.wandoujia.com/apps/cn.kuwo.tingshu/download/dot?ch=detail_normal_dl,  最省流量、无广告、无插件、完全免费  , 8.5.5.3
知音漫客,cn.zymk.comic,新闻阅读,10.1万人安装,18.87MB,https://android-artworks.25pp.com/fs08/2019/06/14/11/2_b871cf2e0e7b568f6ed70ac9d0fdf8ef_con_130x130.png,【年少有梦，青春有爱】主打精品国漫，塑造漫画经典。,"['https://android-screenimgs.25pp.com/fs08/2019/06/13/5/110_42dd52f595683c8b16971bb7870d43f0_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/13/6/110_c62f2d8df09fa7499798a2276ef6e3e5_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/13/11/110_b0abcf304bec52511770db241ef03894_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/13/10/110_c9cef5cda8a6ee42cae52c85ee67d6da_234x360.jpg']",小明太极（湖北）国漫文化有限公司,https://www.wandoujia.com/apps/cn.zymk.comic/download/dot?ch=detail_normal_dl,  正版人气漫画阅读且永久免费，无广告  , 5.1.3
豆豆免费小说,com.kanshu.ksgb.fastread.doudou,新闻阅读,53.9万人安装,14.54MB,https://android-artworks.25pp.com/fs08/2019/04/25/0/110_b71fe610162acc472f9c0d8bba937554_con_130x130.png,看小说能赚钱，豆豆免费小说狂撒大额红包，邀请好友就可赚钱现金到账。豆豆免费小说，一款专业的免费电子书阅读软件，喜欢电子书、爱阅读的小伙伴千万不要错过。【包含各类小说集】大神精品、武侠小说、推理小说、历史小说、言情小说、科幻小说、奇幻小说、游戏小说、玄幻小说、探险小说、恐怖小说、冶艳小说、讽刺小说、神怪小说、电影小说、架空历史小说、网游小说、轻小说、军事小说、长篇小说、中篇小说、短篇小说【功能的特色】1.海量热门免费小说，操作便捷，更新快速，节省流量2.流畅舒适的仿真翻页效果3.支持在线阅读，缓存阅读，连载更新，切换字体，切换背景等功能4.书架分类管理，种类齐全，分白天/夜间两种模式5.全屏阅读、目录浏览、书签收藏、智能记忆上次阅读位置汇聚小说精品，想读就读，随时阅读,"['https://android-screenimgs.25pp.com/fs08/2019/06/13/5/110_42dd52f595683c8b16971bb7870d43f0_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/13/6/110_c62f2d8df09fa7499798a2276ef6e3e5_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/13/11/110_b0abcf304bec52511770db241ef03894_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/13/10/110_c9cef5cda8a6ee42cae52c85ee67d6da_234x360.jpg']",北京友和卓谊信息技术有限公司,https://www.wandoujia.com/apps/com.kanshu.ksgb.fastread.doudou/download/dot?ch=detail_normal_dl,  万本小说免费看  , 4.0.1
新浪财经,cn.com.sina.finance,新闻阅读,12.5万人安装,29.75MB,https://android-artworks.25pp.com/fs08/2019/05/30/2/110_3b682e79612fb33a52ad44a2f8dcbb1b_con_130x130.png,【产品简介】新浪财经是中国财经领导品牌，是亿万投资者的选择；【产品特点】*财经新闻：7*24小时追踪全球金融动态，政策风向，股票重大情报，投资机会一览无余；*账户同步：新浪财经PC网站、手机新浪网、财经客户端三大平台一个账号，轻松操作自选股；*主力资金：实时查看沪深A股资金数据，跟踪主力动向；*大数据诊断：基本面、新闻舆情、技术面、资金面全面诊断个股价值；*股市：财经大V深度解读股市机会，掌握股市先机；*智能预警：自选股智能预警，公告、研究报告第一时间推送到达； *开户交易：支持沪深、港股、美股开户和交易；【联系我们】北京市海淀区西北旺东路10号院西区8号楼新浪总部大厦；【官方网站】http://finance.sina.com.cn；【官方微博】http://weibo.com/finance；【QQ    群】537206810；【客服电话】4006-900-000；【客服邮箱】sinacsc@vip.sina.com；,"['https://android-screenimgs.25pp.com/fs08/2019/05/29/3/106_a21a9a6e90a98b91bcb294f2d70985ca_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/05/29/10/106_886ed9827bfa49d4dc7202e32ebcf78f_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/05/29/4/106_4899436982a3b0bdb07c695135701b1a_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/05/29/7/106_cc6f70c8e1a9df2bbf0637b2e026851d_234x360.jpg']",新浪网技术（中国）有限公司,https://www.wandoujia.com/apps/cn.com.sina.finance/download/dot?ch=detail_normal_dl,  独家理财师贴身投顾服务 打造移动金融服务平台  , 4.4.7.2
搜书大师,com.flyersoft.seekbooks,新闻阅读,3.7万人安装,10.88MB,https://android-artworks.25pp.com/fs08/2019/06/05/7/2_ecf16103d8e30a13db53dba277f0f651_con_130x130.png,"(书友群:692412742)●超级搜书, 一网打尽","['https://android-screenimgs.25pp.com/fs08/2019/05/29/3/106_a21a9a6e90a98b91bcb294f2d70985ca_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/05/29/10/106_886ed9827bfa49d4dc7202e32ebcf78f_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/05/29/4/106_4899436982a3b0bdb07c695135701b1a_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/05/29/7/106_cc6f70c8e1a9df2bbf0637b2e026851d_234x360.jpg']",深圳静读信息技术有限公司,https://www.wandoujia.com/apps/com.flyersoft.seekbooks/download/dot?ch=detail_normal_dl,  强大的搜书神器  , v16.6b
微博动漫,com.weibo.comic,新闻阅读,55.1万人安装,44.3MB,https://android-artworks.25pp.com/fs08/2019/06/03/9/110_2ce6542d25b5c7df96ee8d734a579f31_con_130x130.png,"微博动漫APP，你的看漫画！开挂般的阅读体验让你，作者大大每天搬着小板凳在评论区等你来撩！o(*￣▽￣*)ブ【海量动漫  告别漫荒】人气漫画全搜罗！(/≧▽≦)/ 不仅仅有虐心生存巨作《凤囚凰》、女主命运神奇反转《水晶鞋》、民间奇幻故事集《三老爷诡事会》，更有《中国惊奇先生》作者权迎升的年度新作《异先生之深海灵王》，""少年王""于彦舒新作《踢球吧，太阳》等顶级大师力作。满足你的一切口味，麻麻再也不用担心我没有漫画看啦！(?ˉ?ˉ?)【专属话题  亲密互动】欢迎小伙伴每天在这里捡，学吐槽！ 这里就是专属于漫画控的大本营~分享最新资讯，组团催更作者○(＾皿＾)っ每天都有新发现新朋友，再也不做小透明~！(? ?_?)?【种类繁多  即时更新】动漫界迷の存在，王一般的内容储备！o(*^▽^*) o总裁漫、少年漫、校园都市悬疑漫，14大种类，数万部作品，你想看的全都有~！随手关注，让追漫变得更简单~【离线缓存  随时撸漫】再也不担心流量不够辣！离线缓存解决宝宝们所有问题~随时随地想看就看，还能截图做壁纸，快来把心仪的作品带回家~【联系方式】官方QQ群：467969008微博：@微博动漫APP","['https://android-screenimgs.25pp.com/fs08/2019/05/29/3/106_a21a9a6e90a98b91bcb294f2d70985ca_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/05/29/10/106_886ed9827bfa49d4dc7202e32ebcf78f_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/05/29/4/106_4899436982a3b0bdb07c695135701b1a_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/05/29/7/106_cc6f70c8e1a9df2bbf0637b2e026851d_234x360.jpg']",北京炫果壳信息技术股份有限公司,https://www.wandoujia.com/apps/com.weibo.comic/download/dot?ch=detail_normal_dl,  海量漫画想看就看  , 7.8.5
搜狗阅读,com.sogou.novel,新闻阅读,321.5万人安装,16.11MB,https://android-artworks.25pp.com/fs08/2019/06/06/3/110_9a70941e620f1d51e0441089984c1ab2_con_130x130.png,搜狗阅读是搜狗公司推出的一款小说阅读软件。依托于搜狗搜索引擎服务对互联网海量小说资源进行采集筛选，为您提供最丰富的小说资源，最优质的小说内容，最全面的小说类型，最舒适的阅读体验，只为成为你身边最亲密的阅读小伙伴儿。							特色功能：【精品书】精美图书封面，内容整齐排版；【离线预读】零流量玩转小说阅读，省流量更省心；【云书架】自动保存浏览记录，更换设备完美衔接；【自动阅读】释放双手，“懒人”的优质体验；【人声朗读】耳朵“看书”，呵护眼睛小能手；【自动夜间模式】一键设置，晚间智慧阅读方案；【背景多样】完成你小说颜色的私人订制。,"['https://android-screenimgs.25pp.com/fs08/2019/05/29/3/106_a21a9a6e90a98b91bcb294f2d70985ca_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/05/29/10/106_886ed9827bfa49d4dc7202e32ebcf78f_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/05/29/4/106_4899436982a3b0bdb07c695135701b1a_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/05/29/7/106_cc6f70c8e1a9df2bbf0637b2e026851d_234x360.jpg']",北京搜狗科技发展有限公司,https://www.wandoujia.com/apps/com.sogou.novel/download/dot?ch=detail_normal_dl,  热辣爽文、连载小说免费读  , 5.6.10
腾讯新闻,com.tencent.news,新闻阅读,16.1万人安装,19.94MB,https://android-artworks.25pp.com/fs08/2019/06/11/4/110_f77b3a1ee89fc5e5d20364519312d9f4_con_130x130.png,腾讯新闻是腾讯公司为用户精心打造的一款拥有7x24小时全方位新闻报道的新闻产品，为用户提供高效、优质的资讯服务。是各个电子市场上下载极多，资讯新又全，浏览快、省流量的新闻产品。【产品特色】-新闻报道：7×24小时不间断更新，为你带来新闻现场热门资讯；重大、突发新闻推送，即刻到你手中-特色栏目：众多特色栏目等你来品味，《新闻哥》带你无底线趣味调侃新闻，《贵圈》带你揭秘圈不为人知的另一面-直播：乐享五大足球联赛、NBA等国内外重大赛事直播，边看直播边聊天，更有神秘嘉宾等你来发现-话题评论互动：参与身边事的讨论互动，看网友观点互动，关注有趣的人，一起聊新闻-个性化推荐：你用得越多，我们推荐的越准，你关心的，尽在眼前-媒体订阅：精心挑选近千家优质微信媒体，订阅丰富阅读内容-王卡免流量看视频看资讯【意见反馈】- 软件反馈：设置- 意见反馈- 官方网站：http://news.qq.com/mobile/- 腾讯微博：@腾讯新闻客户端特别说明：手机安卓系统版本低于3.0的用户，请访问官网（http://news.qq.com/mobile/）下载定制版本。,"['https://android-screenimgs.25pp.com/fs08/2019/06/10/9/110_b12b49d7aa823b53c9d02c9b473136f0_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/10/7/110_9aca6788ae49c96dd84b2acb39cf67a0_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/10/2/110_4f5f581e983311c37d87628c1f4a4992_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/10/1/110_d993f5c5d782a01efe833702e936778c_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/10/6/110_43fecbde633a0c4a60c3b6657ae69597_234x360.jpg']",腾讯科技（北京）有限公司,https://www.wandoujia.com/apps/com.tencent.news/download/dot?ch=detail_normal_dl,  看新闻积分兑壕礼  , 5.8.20
小书亭,com.qihoo.haosou.subscribe.vertical.book,新闻阅读,8.5万人安装,16.08MB,https://android-artworks.25pp.com/fs08/2019/06/14/5/106_c74f8398955b62a9f5085a6a25914ac6_con_130x130.png,小书亭，读你爱的小说！为您倾力打造一款很有趣、零付费、小说全的阅读软件，全网书籍任意看，群组随心聊，满足您的阅读需求！,"['https://android-screenimgs.25pp.com/fs08/2019/06/10/9/110_b12b49d7aa823b53c9d02c9b473136f0_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/10/7/110_9aca6788ae49c96dd84b2acb39cf67a0_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/10/2/110_4f5f581e983311c37d87628c1f4a4992_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/10/1/110_d993f5c5d782a01efe833702e936778c_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/10/6/110_43fecbde633a0c4a60c3b6657ae69597_234x360.jpg']",深圳市华冠传媒技术有限公司,https://www.wandoujia.com/apps/com.qihoo.haosou.subscribe.vertical.book/download/dot?ch=detail_normal_dl,  海量免费小说阅读  , 1.36.2.595
TXT免费全本阅读器,com.mianfeinovel,新闻阅读,24.8万人安装,18.17MB,https://android-artworks.25pp.com/fs08/2019/03/05/1/110_5c036ffa7eded883ada3757e69a5e327_con_130x130.png,TXT免费全本阅读器，专业的小说电子书阅读器，免费小说大全，小说种类齐全，内容丰富。涵盖了总裁小说，都市小说，玄幻小说，修仙小说，灵异小说，各类言情小说，穿越小说，婚恋小说，耽美小说等等类型。好看到灵魂颤抖，有料到点灯熬夜！这是一个很实在的看书，不吹牛皮只疯狂更新，全本小说随心看，十万本小说免费看，可以下载随时随地阅读！♣免费多多，多对的电子书阅读♣【热门小说】《无上征服系统》哟，穿越了，没事儿，我有系统。哟，大王子想害我，没事儿，我有系统。哟，敌国进犯，没事儿，我有系统。哟，爱妃在寝宫等我，没事儿，我有…咳咳……这个还是我自己来吧。这是一个讲述秦逸重生天耀大陆，征服天，征服地，征服大海和空气，最终征服一切的故事。《修罗神帝》九天世界，位面崛起，万族林立。一位来自低等位面的修罗之子，无意中觉醒了血脉中的逆天神纹，一步步踏上了精彩绝伦的九天世界。强者之路，谁主沉浮？历经劫难，与天齐高。踏上云端，扶摇直上九万里！我就是武，执掌轮回！我就是天，主宰世界！《三界淘宝店》一个混吃等死的高三，误入三界淘宝店，开启牛叉人生。老君出品，造化金丹，一颗平添3000斤臂力，专治各种不服；月老姻缘符，御姐总裁，清纯校花，，纷纷倒贴；牛头马面炼制的招鬼符，一个不开心便召百万阴兵踏境，碾碎一切！修仙了？本店还有女妖精出租服务哟，捆绑、滴蜡、皮鞭、冰火两重天，让你爽到不能呼吸的地步～～～总之，背后有一群神仙撑腰，宁小凡不咸鱼翻身，简直没天理了！《混沌天体》废物？不能修炼？不！慕容羽的体质奇异，是天地间最强大的混沌天体！拳砸飞剑，脚踩仙器，肉身堪比，硬抗天劫毫发无损！修真大派？名门奇才？敢惹这个煞星，最后一样被灭满门！脚踏大地，肩扛山岳，头顶苍穹！废柴蜕变天才，看慕容羽的逆天成神之路……【海量好书】囊括全网百万小说，都市言情、玄幻仙侠、青春校园、穿越架空等满足你的小说阅读需求【更新迅速】小说追书实时推送，前方高能等您来看，不再为不是免费小说而发愁！ 【优质体验】1.近百种分类、上千个标签，权威小说榜单，一站式精彩呈现，不再为找书而头痛。 2.书荒不知看什么？精选个性化推荐，好书刷新不断，完美小说不断呈现。 3.超赞排版优化，致力于为您打造舒适阅读体验。,"['https://android-screenimgs.25pp.com/fs08/2019/06/10/9/110_b12b49d7aa823b53c9d02c9b473136f0_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/10/7/110_9aca6788ae49c96dd84b2acb39cf67a0_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/10/2/110_4f5f581e983311c37d87628c1f4a4992_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/10/1/110_d993f5c5d782a01efe833702e936778c_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/10/6/110_43fecbde633a0c4a60c3b6657ae69597_234x360.jpg']",北京阅微草堂科技发展有限公司,https://www.wandoujia.com/apps/com.mianfeinovel/download/dot?ch=detail_normal_dl,  专业小说阅读软件  , 2.7.9
免费全本小说书城,cc.kdqbxs.reader,新闻阅读,20.8万人安装,18.09MB,https://android-artworks.25pp.com/fs08/2019/06/12/3/110_7c28cbf1b0b3a7761fe6b0df91482284_con_130x130.png,全部小说阅读，你想要的小说这里都有，作者更新我更新，百万用户的一致选择！       【追书必备阅读神器】小说大全，人气手机阅读追书神器，汇聚海量精品出版图书，功能体验全面升级。      【智能搜索引擎覆盖】小说任你搜，一键缓存到本地，随时随地享受最纯粹的精品阅读时光，还不赶快来看小说！       【涵盖多种分类标签】汇集玄幻小说，修仙小说，都市小说，言情小说，官场小说，穿越小说，同人小说，耽美小说，校园小说，军事小说，霸道总裁，武侠小说，网游小说，历史小说，奇幻小说，灵异小说，推理小说等！       更有大神热书等你来看！ 想看热播大剧原著小说也要来全本小说书城哦！【经典好书推荐】鬼吹灯、爆笑宠妃：爷我等你来休(双世宠妃）、醉玲珑、楚乔传、择天记、圣墟、一念永恒、全职高手、重生之都市修仙、帝霸、雪鹰领主、修正聊天群、放开那个女巫、大主宰、龙王传说、不朽凡人、神级剑魂系统、天道图书馆、五行天、万界天尊、永恒传说：朝圣、斗破苍穹、完美世界、君九龄、邂逅调香师、容后传、大帝姬、魔魂枪风、快穿美男记忆、军嫂的彪悍时代等热门小说等你来阅读！欢迎加入读者【交流圈】QQ群：668637864,"['https://android-screenimgs.25pp.com/fs08/2019/06/10/9/110_b12b49d7aa823b53c9d02c9b473136f0_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/10/7/110_9aca6788ae49c96dd84b2acb39cf67a0_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/10/2/110_4f5f581e983311c37d87628c1f4a4992_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/10/1/110_d993f5c5d782a01efe833702e936778c_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/10/6/110_43fecbde633a0c4a60c3b6657ae69597_234x360.jpg']",北京优视诚品科技发展有限公司,https://www.wandoujia.com/apps/cc.kdqbxs.reader/download/dot?ch=detail_normal_dl,  小说免费追书必备  , 1.6.0
神漫画,com.comic.shenmanhua,新闻阅读,6.6万人安装,33.97MB,https://android-artworks.25pp.com/fs08/2019/06/04/11/110_38c0a5dfdb6ff9760e4d6841bc6614f0_con_130x130.png,神采飞扬，漫画天堂——神漫画，超酷二次元男频追漫，数万部高清全彩漫画任性看。1、热门小说漫改全搜罗，海量正版漫画，第~一时间更新；2、热血、搞笑、悬疑、古风、恋爱、穿越、冒险~~你想要的漫画全都有3、一键缓存、弹幕加持、给作者鸡腿~~漫画强大功能为你定制；4、幕后、八卦、、交友~~超High神坛 ，二次元精彩无限；5、超级享不停，新用户豪送30天黑金免~费卡，任性看漫不收费；【热门必看】《斗破苍穹》、《斗罗大陆》、《凤逆天下》《穿越西元3000年后》【热血必看】《三眼哮天录》、《完美世界》、《X龙时代》《遮天》【漫改必看】《绝世唐门》、《武动乾坤》《神印王座》、《簪中录》【独家必看】《我被总裁黑上了》《读档皇后》《血族禁域》《寻找前世之旅》,"['https://android-screenimgs.25pp.com/fs08/2019/06/10/9/110_b12b49d7aa823b53c9d02c9b473136f0_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/10/7/110_9aca6788ae49c96dd84b2acb39cf67a0_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/10/2/110_4f5f581e983311c37d87628c1f4a4992_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/10/1/110_d993f5c5d782a01efe833702e936778c_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/10/6/110_43fecbde633a0c4a60c3b6657ae69597_234x360.jpg']",四川明赋网络科技有限公司,https://www.wandoujia.com/apps/com.comic.shenmanhua/download/dot?ch=detail_normal_dl,  热门小说改编漫画  , 1.7.4
